Title,Description,Labels,Start Date,End Date
[Sprint 05] API Finote (Phiếu ĐNTT),"CRUD Finote, thiết lập luồng duyệt (Status Machine).","sprint-05, backend, accounting",2026-06-13,2026-06-18
[Sprint 05] Auto-Approve Cronjob (Finote),Job chạy mỗi đêm: Quá 3 ngày Leader không duyệt -> Đổi sang APPROVED.,"sprint-05, backend, accounting",2026-06-17,2026-06-20
[Sprint 05] API Báo cáo Finote theo Tháng,"Tổng hợp phiếu ĐNTT đã duyệt theo tháng, theo phòng ban, xuất Excel/PDF.","sprint-05, backend, accounting",2026-06-18,2026-06-21
[Sprint 05] Giao diện Lên Finote (Dành cho Staff),Form nhập dữ liệu phiếu thanh toán và đính kèm hóa đơn.,"sprint-05, frontend, accounting",2026-06-19,2026-06-23
[Sprint 05] Giao diện Duyệt Finote (Dành cho Leader),"Màn hình 'Chờ tôi duyệt', nút Approve/Reject có ghi chú.","sprint-05, frontend, accounting",2026-06-22,2026-06-26
[Sprint 05] Giao diện Báo cáo Finote,"Dashboard tổng hợp chi phí theo tháng, phòng ban, loại chi phí.","sprint-05, frontend, accounting",2026-06-24,2026-06-27
[Sprint 06] Integration Testing Toàn hệ thống,Chạy test nối các luồng từ Tạo Lead -> Báo giá -> Hợp đồng -> Finote.,"sprint-06, backend",2026-06-27,2026-07-03
[Sprint 06] Tối ưu hóa UI/UX Phase 1,"Sửa lỗi giao diện, responsive cho Mobile/Tablet, loading states.","sprint-06, frontend",2026-07-01,2026-07-07
[Sprint 06] Cập nhật API Documentation,Generate Swagger docs mới nhất để chuẩn bị bàn giao.,"sprint-06, backend",2026-07-06,2026-07-10
[Sprint 07] Setup Hạ tầng Production (VPS),"Cài đặt Docker, Redis, Postgres lên server thật.","sprint-07, backend",2026-07-11,2026-07-15
[Sprint 07] Hỗ trợ UAT Phase 1,"Nhận bug từ STAX, tạo thẻ Bug và Fix trực tiếp.","sprint-07, bug",2026-07-14,2026-07-24
